
# DDL
CREATE DATABASE Trumpv2

# DML
# CONTEXT-DATABASE: Trumpv2

shooting IncidentDate="July 15, 2019",State="Georgia",CityOrCounty="Atlanta",Address="1572 Hardee St NE",Killed=0,Injured=4,Operations="nan" 1571702409
shooting IncidentDate="July 14, 2019",State="Illinois",CityOrCounty="Chicago",Address="4600 block of W Erie St",Killed=0,Injured=4,Operations="nan" 1571702409
shooting IncidentDate="July 13, 2019",State="Illinois",CityOrCounty="Chicago",Address="7900 block of S Loomis Blvd",Killed=1,Injured=4,Operations="nan" 1571702409
shooting IncidentDate="July 13, 2019",State="Pennsylvania",CityOrCounty="Philadelphia",Address="5433 Lansdowne Ave",Killed=0,Injured=7,Operations="nan" 1571702409
shooting IncidentDate="July 11, 2019",State="Texas",CityOrCounty="Houston",Address="5901 Royal Palms St",Killed=0,Injured=4,Operations="nan" 1571702409
shooting IncidentDate="July 8, 2019",State="District of Columbia",CityOrCounty="Washington",Address="3900 Martin Luther King Jr Ave SW",Killed=2,Injured=2,Operations="nan" 1571702409
shooting IncidentDate="July 7, 2019",State="Michigan",CityOrCounty="Flint",Address="Clio Rd and Myrtle St",Killed=0,Injured=6,Operations="nan" 1571702409
shooting IncidentDate="July 7, 2019",State="Missouri",CityOrCounty="Saint Louis",Address="N Tucker Blvd and Convention Plaza",Killed=0,Injured=5,Operations="nan" 1571702409
shooting IncidentDate="July 7, 2019",State="Illinois",CityOrCounty="Chicago",Address="5600 block of S Paulina St",Killed=0,Injured=4,Operations="nan" 1571702409
shooting IncidentDate="July 7, 2019",State="Illinois",CityOrCounty="Chicago",Address="600 block of W 61st Pl",Killed=0,Injured=4,Operations="nan" 1571702409
shooting IncidentDate="July 7, 2019",State="New Mexico",CityOrCounty="Albuquerque",Address="211 Gold Ave SW",Killed=0,Injured=4,Operations="nan" 1571702409
shooting IncidentDate="July 6, 2019",State="California",CityOrCounty="San Jose",Address="3036 Quinto Way",Killed=0,Injured=4,Operations="nan" 1571702409
shooting IncidentDate="July 6, 2019",State="Missouri",CityOrCounty="Saint Louis",Address="1921 Chambers Rd",Killed=5,Injured=0,Operations="nan" 1571702409
shooting IncidentDate="July 5, 2019",State="Massachusetts",CityOrCounty="Boston",Address="Maple St",Killed=0,Injured=6,Operations="nan" 1571702409
shooting IncidentDate="July 5, 2019",State="Illinois",CityOrCounty="Chicago",Address="1600 block of E 67th St",Killed=0,Injured=5,Operations="nan" 1571702409
shooting IncidentDate="July 5, 2019",State="Nevada",CityOrCounty="Reno",Address="600 block of Spokane St",Killed=1,Injured=3,Operations="nan" 1571702409
shooting IncidentDate="July 5, 2019",State="New York",CityOrCounty="Brooklyn",Address="Elton St and Belmont Ave",Killed=0,Injured=4,Operations="nan" 1571702409
shooting IncidentDate="July 4, 2019",State="Illinois",CityOrCounty="Rockford",Address="1100 block of Preston St",Killed=0,Injured=4,Operations="nan" 1571702409
shooting IncidentDate="July 4, 2019",State="Illinois",CityOrCounty="Chicago",Address="800 block of N Homan Ave",Killed=1,Injured=3,Operations="nan" 1571702409
shooting IncidentDate="July 4, 2019",State="California",CityOrCounty="Los Angeles",Address="1900 block of Adair St",Killed=0,Injured=4,Operations="nan" 1571702409
shooting IncidentDate="July 4, 2019",State="California",CityOrCounty="Fresno",Address="4700 block of E Hamilton Ave",Killed=1,Injured=3,Operations="nan" 1571702409
shooting IncidentDate="July 3, 2019",State="Texas",CityOrCounty="Katy",Address="5507 Everhart Manor Ln",Killed=2,Injured=3,Operations="nan" 1571702409
shooting IncidentDate="July 2, 2019",State="Missouri",CityOrCounty="Saint Louis (Wellston)",Address="6250 Page Ave",Killed=0,Injured=4,Operations="nan" 1571702409
shooting IncidentDate="July 1, 2019",State="Maryland",CityOrCounty="Baltimore",Address="1200 block of N Luzerne Ave",Killed=0,Injured=4,Operations="nan" 1571702409
